movieTitle,movieIMDbLink,gross,budget,profit,ROI,actor
The Chronicles of Narnia: Prince Caspian,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,141614023,225000000,-83385977,-37.06043422222222,Peter Dinklage
The Avengers,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,623279547,220000000,403279547,183.308885,Chris Hemsworth
Pirates of the Caribbean: On Stranger Tides,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,241063875,250000000,-8936125,-3.5744499999999997,Johnny Depp
Men in Black 3,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,179020854,225000000,-45979146,-20.435176,Will Smith
The Hobbit: The Battle of the Five Armies,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,255108370,250000000,5108370,2.043348,Aidan Turner
The Amazing Spider-Man,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,262030663,230000000,32030663,13.926375217391303,Emma Stone
Robin Hood,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,105219735,200000000,-94780265,-47.3901325,Mark Addy
The Hobbit: The Desolation of Smaug,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,258355354,225000000,33355354,14.824601777777776,Aidan Turner
The Golden Compass,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,70083519,180000000,-109916481,-61.06471166666667,Christopher Lee
King Kong,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,218051260,207000000,11051260,5.338772946859904,Naomi Watts
Titanic,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,658672302,200000000,458672302,229.336151,Leonardo DiCaprio
Captain America: Civil War,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,407197282,250000000,157197282,62.878912799999995,Robert Downey Jr.
Battleship,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,65173160,209000000,-143826840,-68.81666985645933,Liam Neeson
Jurassic World,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,652177271,150000000,502177271,334.78484733333335,Bryce Dallas Howard
Skyfall,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,304360277,200000000,104360277,52.1801385,Albert Finney
Spider-Man 2,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,373377893,200000000,173377893,86.6889465,J.K. Simmons
Iron Man 3,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,408992272,200000000,208992272,104.496136,Robert Downey Jr.
Alice in Wonderland,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,334185206,200000000,134185206,67.092603,Johnny Depp
X-Men: The Last Stand,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,234360014,210000000,24360014,11.600006666666667,Hugh Jackman
Monsters University,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,268488329,200000000,68488329,34.244164500000004,Steve Buscemi
Transformers: Revenge of the Fallen,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,402076689,200000000,202076689,101.0383445,Glenn Morshower
Transformers: Age of Extinction,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,245428137,210000000,35428137,16.87054142857143,Bingbing Li
Oz the Great and Powerful,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,234903076,215000000,19903076,9.257244651162791,Tim Holmes
The Amazing Spider-Man 2,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,202853933,200000000,2853933,1.4269665,Emma Stone
TRON: Legacy,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,172051787,170000000,2051787,1.2069335294117647,Jeff Bridges
Cars 2,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,191450875,200000000,-8549125,-4.2745625,Joe Mantegna
Green Lantern,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,116593191,200000000,-83406809,-41.703404500000005,Ryan Reynolds
Toy Story 3,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,414984497,200000000,214984497,107.49224850000002,Tom Hanks
Terminator Salvation,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,125320003,200000000,-74679997,-37.3399985,Christian Bale
Furious 7,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,350034110,190000000,160034110,84.22847894736843,Jason Statham
World War Z,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,202351611,190000000,12351611,6.500847894736841,Peter Capaldi
X-Men: Days of Future Past,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,233914986,200000000,33914986,16.957493,Jennifer Lawrence
Star Trek Into Darkness,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,228756232,190000000,38756232,20.398016842105264,Benedict Cumberbatch
Jack the Giant Slayer,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,65171860,195000000,-129828140,-66.57853333333334,Eddie Marsan
The Great Gatsby,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,144812796,105000000,39812796,37.91694857142857,Leonardo DiCaprio
Prince of Persia: The Sands of Time,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,90755643,200000000,-109244357,-54.6221785,Jake Gyllenhaal
Pacific Rim,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,101785482,190000000,-88214518,-46.42869368421053,Charlie Hunnam
Transformers: Dark of the Moon,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,352358779,195000000,157358779,80.69680974358975,Glenn Morshower
Indiana Jones and the Kingdom of the Crystal Skull,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,317011114,185000000,132011114,71.35735891891892,Harrison Ford
Brave,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,237282182,185000000,52282182,28.260638918918918,Kelly Macdonald
Star Trek Beyond,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,130468626,185000000,-54531374,-29.476418378378376,Sofia Boutella
WALLÃ¥Ã¡E,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,223806889,180000000,43806889,24.337160555555556,John Ratzenberger
Rush Hour 3,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,140080850,140000000,80850,0.05775,Tzi Ma
2012,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,166112167,200000000,-33887833,-16.9439165,Oliver Platt
A Christmas Carol,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,137850096,200000000,-62149904,-31.074952,Robin Wright
Jupiter Ascending,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,47375327,176000000,-128624673,-73.08220056818182,Channing Tatum
The Legend of Tarzan,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,124051759,180000000,-55948241,-31.08235611111111,Christoph Waltz
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,291709845,180000000,111709845,62.061025,Jim Broadbent
X-Men: Apocalypse,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,154985087,178000000,-23014913,-12.929726404494382,Jennifer Lawrence
The Dark Knight,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,533316061,185000000,348316061,188.2789518918919,Christian Bale
Up,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,292979556,175000000,117979556,67.41688914285714,John Ratzenberger
Monsters vs. Aliens,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,198332128,175000000,23332128,13.33264457142857,Amy Poehler
Iron Man,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,318298180,140000000,178298180,127.35584285714285,Robert Downey Jr.
Hugo,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,73820094,170000000,-96179906,-56.576415294117645,ChloÃŒÃ‡ Grace Moretz
Wild Wild West,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,113745408,170000000,-56254592,-33.09093647058823,Will Smith
The Mummy: Tomb of the Dragon Emperor,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,102176165,145000000,-42823835,-29.53367931034483,Jet Li
Suicide Squad,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,161087183,175000000,-13912817,-7.950181142857144,Will Smith
Evan Almighty,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,100289690,175000000,-74710310,-42.691605714285714,Jimmy Bennett
Edge of Tomorrow,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,100189501,178000000,-77810499,-43.71376348314607,Tom Cruise
Waterworld,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,88246220,175000000,-86753780,-49.57358857142857,Jeanne Tripplehorn
G.I. Joe: The Rise of Cobra,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,150167630,175000000,-24832370,-14.189925714285714,Joseph Gordon-Levitt
Inside Out,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,356454367,175000000,181454367,103.68820971428572,Amy Poehler
The Jungle Book,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,362645141,175000000,187645141,107.22579485714286,Scarlett Johansson
Iron Man 2,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,312057433,200000000,112057433,56.028716499999994,Robert Downey Jr.
Snow White and the Huntsman,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,155111815,170000000,-14888185,-8.75775588235294,Chris Hemsworth
Maleficent,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,241407328,180000000,61407328,34.115182222222224,Angelina Jolie Pitt
Dawn of the Planet of the Apes,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,208543795,170000000,38543795,22.672820588235293,Gary Oldman
47 Ronin,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,38297305,175000000,-136702695,-78.11582571428572,Keanu Reeves
Captain America: The Winter Soldier,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,259746958,170000000,89746958,52.792328235294114,Scarlett Johansson
Shrek Forever After,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,238371987,165000000,73371987,44.467870909090905,Jon Hamm
Tomorrowland,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,93417865,190000000,-96582135,-50.832702631578954,Judy Greer
Big Hero 6,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,222487711,165000000,57487711,34.84103696969697,Damon Wayans Jr.
Wreck-It Ralph,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,189412677,165000000,24412677,14.795561818181818,Jack McBrayer
The Polar Express,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,665426,165000000,-164334574,-99.59671151515151,Tom Hanks
Independence Day: Resurgence,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,102315545,165000000,-62684455,-37.99057878787879,Vivica A. Fox
How to Train Your Dragon,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1,217387997,165000000,52387997,31.75030121212121,Gerard Butler
Terminator 3: Rise of the Machines,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,150350192,200000000,-49649808,-24.824904,Nick Stahl
Guardians of the Galaxy,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1,333130696,170000000,163130696,95.95923294117648,Bradley Cooper
Interstellar,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,187991439,165000000,22991439,13.934205454545454,Matthew McConaughey
Inception,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,292568851,160000000,132568851,82.855531875,Leonardo DiCaprio
The Hobbit: An Unexpected Journey,http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1,303001229,180000000,123001229,68.33401611111111,Aidan Turner
The Fast and the Furious,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,144512310,38000000,106512310,280.29555263157897,Paul Walker
The Curious Case of Benjamin Button,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1,127490802,150000000,-22509198,-15.006132,Brad Pitt
X-Men: First Class,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,146405371,160000000,-13594629,-8.496643125,Jennifer Lawrence
The Hunger Games: Mockingjay - Part 2,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1,281666058,160000000,121666058,76.04128625,Jennifer Lawrence
The Sorcerer's Apprentice,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1,63143812,150000000,-86856188,-57.90412533333333,Nicolas Cage
Poseidon,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1,60655503,160000000,-99344497,-62.090310625,Jimmy Bennett
Alice Through the Looking Glass,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,76846624,170000000,-93153376,-54.796103529411766,Johnny Depp
Shrek the Third,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1,320706665,160000000,160706665,100.44166562500001,Justin Timberlake
Warcraft,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1,46978995,160000000,-113021005,-70.638128125,Dominic Cooper
Terminator Genisys,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1,89732035,155000000,-65267965,-42.10836451612903,J.K. Simmons
The Chronicles of Narnia: The Voyage of the Dawn Treader,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1,104383624,155000000,-50616376,-32.65572645161291,Bruce Spence
Pearl Harbor,http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1,198539855,140000000,58539855,41.81418214285714,Jennifer Garner
Transformers,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1,318759914,150000000,168759914,112.50660933333334,Zack Ward
Alexander,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1,34293771,155000000,-120706229,-77.8749864516129,Anthony Hopkins
Harry Potter and the Order of the Phoenix,http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1,292000866,150000000,142000866,94.667244,Robert Pattinson
Harry Potter and the Goblet of Fire,http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1,289994397,150000000,139994397,93.329598,Robert Pattinson
Hancock,http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1,227946274,150000000,77946274,51.96418266666667,Will Smith
I Am Legend,http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1,256386216,150000000,106386216,70.924144,Will Smith
Charlie and the Chocolate Factory,http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1,206456431,150000000,56456431,37.63762066666666,Johnny Depp
Ratatouille,http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1,206435493,150000000,56435493,37.623662,Janeane Garofalo
Batman Begins,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1,205343774,150000000,55343774,36.89584933333334,Christian Bale
Madagascar: Escape 2 Africa,http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1,179982968,150000000,29982968,19.98864533333333,Bernie Mac
Night at the Museum: Battle of the Smithsonian,http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1,177243721,150000000,27243721,18.162480666666667,Robin Williams
X-Men Origins: Wolverine,http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1,179883016,150000000,29883016,19.92201066666667,Hugh Jackman
The Matrix Revolutions,http://www.imdb.com/title/tt0242653/?ref_=fn_tt_tt_1,139259759,150000000,-10740241,-7.160160666666666,Essie Davis
Frozen,http://www.imdb.com/title/tt2294629/?ref_=fn_tt_tt_1,400736600,150000000,250736600,167.1577333333333,Josh Gad
The Matrix Reloaded,http://www.imdb.com/title/tt0234215/?ref_=fn_tt_tt_1,281492479,150000000,131492479,87.66165266666667,Steve Bastoni
Thor: The Dark World,http://www.imdb.com/title/tt1981115/?ref_=fn_tt_tt_1,206360018,170000000,36360018,21.38824588235294,Chris Hemsworth
Mad Max: Fury Road,http://www.imdb.com/title/tt1392190/?ref_=fn_tt_tt_1,153629485,150000000,3629485,2.4196566666666666,Tom Hardy
Angels & Demons,http://www.imdb.com/title/tt0808151/?ref_=fn_tt_tt_1,133375846,150000000,-16624154,-11.082769333333333,Tom Hanks
Thor,http://www.imdb.com/title/tt0800369/?ref_=fn_tt_tt_1,181015141,150000000,31015141,20.676760666666667,Chris Hemsworth
Bolt,http://www.imdb.com/title/tt0397892/?ref_=fn_tt_tt_1,114053579,150000000,-35946421,-23.964280666666667,ChloÃŒÃ‡ Grace Moretz
G-Force,http://www.imdb.com/title/tt0436339/?ref_=fn_tt_tt_1,119420252,150000000,-30579748,-20.386498666666668,Kelli Garner
Wrath of the Titans,http://www.imdb.com/title/tt1646987/?ref_=fn_tt_tt_1,83640426,150000000,-66359574,-44.239716,Liam Neeson
Dark Shadows,http://www.imdb.com/title/tt1077368/?ref_=fn_tt_tt_1,79711678,100000000,-20288322,-20.288322,Johnny Depp
Mission: Impossible - Rogue Nation,http://www.imdb.com/title/tt2381249/?ref_=fn_tt_tt_1,195000874,150000000,45000874,30.000582666666663,Tom Cruise
The Wolfman,http://www.imdb.com/title/tt0780653/?ref_=fn_tt_tt_1,61937495,150000000,-88062505,-58.708336666666675,Anthony Hopkins
The Legend of Tarzan,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,124051759,180000000,-55948241,-31.08235611111111,Christoph Waltz
Bee Movie,http://www.imdb.com/title/tt0389790/?ref_=fn_tt_tt_1,126597121,150000000,-23402879,-15.601919333333333,Matthew Broderick
Kung Fu Panda 2,http://www.imdb.com/title/tt1302011/?ref_=fn_tt_tt_1,165230261,150000000,15230261,10.153507333333334,Angelina Jolie Pitt
The Last Airbender,http://www.imdb.com/title/tt0938283/?ref_=fn_tt_tt_1,131564731,150000000,-18435269,-12.290179333333333,Seychelle Gabriel
Mission: Impossible III,http://www.imdb.com/title/tt0317919/?ref_=fn_tt_tt_1,133382309,150000000,-16617691,-11.078460666666667,Philip Seymour Hoffman
White House Down,http://www.imdb.com/title/tt2334879/?ref_=fn_tt_tt_1,73103784,150000000,-76896216,-51.264144,Channing Tatum
Mars Needs Moms,http://www.imdb.com/title/tt1305591/?ref_=fn_tt_tt_1,21379315,150000000,-128620685,-85.74712333333333,Elisabeth Harnois
Flushed Away,http://www.imdb.com/title/tt0424095/?ref_=fn_tt_tt_1,64459316,149000000,-84540684,-56.73871409395973,Hugh Jackman
Pan,http://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1,34964818,150000000,-115035182,-76.69012133333334,Hugh Jackman
Mr. Peabody & Sherman,http://www.imdb.com/title/tt0864835/?ref_=fn_tt_tt_1,111505642,145000000,-33494358,-23.09955724137931,Ty Burrell
Troy,http://www.imdb.com/title/tt0332452/?ref_=fn_tt_tt_1,133228348,175000000,-41771652,-23.86951542857143,Brad Pitt
Madagascar 3: Europe's Most Wanted,http://www.imdb.com/title/tt1277953/?ref_=fn_tt_tt_1,216366733,145000000,71366733,49.21843655172414,Jada Pinkett Smith
Die Another Day,http://www.imdb.com/title/tt0246460/?ref_=fn_tt_tt_1,160201106,142000000,18201106,12.81768028169014,Toby Stephens
Ghostbusters,http://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1,118099659,144000000,-25900341,-17.986347916666666,Ed Begley Jr.
Armageddon,http://www.imdb.com/title/tt0120591/?ref_=fn_tt_tt_1,201573391,140000000,61573391,43.98099357142857,Bruce Willis
Men in Black II,http://www.imdb.com/title/tt0120912/?ref_=fn_tt_tt_1,190418803,140000000,50418803,36.01343071428572,Will Smith
Beowulf,http://www.imdb.com/title/tt0442933/?ref_=fn_tt_tt_1,82161969,150000000,-67838031,-45.225354,Robin Wright
Kung Fu Panda 3,http://www.imdb.com/title/tt2267968/?ref_=fn_tt_tt_1,143523463,145000000,-1476537,-1.0183013793103448,J.K. Simmons
Mission: Impossible - Ghost Protocol,http://www.imdb.com/title/tt1229238/?ref_=fn_tt_tt_1,209364921,145000000,64364921,44.389600689655175,Tom Cruise
Rise of the Guardians,http://www.imdb.com/title/tt1446192/?ref_=fn_tt_tt_1,103400692,145000000,-41599308,-28.689177931034482,Hugh Jackman
Fun with Dick and Jane,http://www.imdb.com/title/tt0369441/?ref_=fn_tt_tt_1,110332737,100000000,10332737,10.332737,John Michael Higgins
The Last Samurai,http://www.imdb.com/title/tt0325710/?ref_=fn_tt_tt_1,111110575,140000000,-28889425,-20.63530357142857,Tom Cruise
Exodus: Gods and Kings,http://www.imdb.com/title/tt1528100/?ref_=fn_tt_tt_1,65007045,140000000,-74992955,-53.56639642857143,Christian Bale
Star Trek,http://www.imdb.com/title/tt0796366/?ref_=fn_tt_tt_1,257704099,150000000,107704099,71.80273266666667,Chris Hemsworth
Spider-Man,http://www.imdb.com/title/tt0145487/?ref_=fn_tt_tt_1,403706375,139000000,264706375,190.43624100719424,J.K. Simmons
How to Train Your Dragon 2,http://www.imdb.com/title/tt1646971/?ref_=fn_tt_tt_1,176997107,145000000,31997107,22.066970344827585,Gerard Butler
Gods of Egypt,http://www.imdb.com/title/tt2404233/?ref_=fn_tt_tt_1,31141074,140000000,-108858926,-77.75637571428572,Gerard Butler
Stealth,http://www.imdb.com/title/tt0382992/?ref_=fn_tt_tt_1,31704416,135000000,-103295584,-76.5152474074074,Sam Shepard
Watchmen,http://www.imdb.com/title/tt0409459/?ref_=fn_tt_tt_1,107503316,130000000,-22496684,-17.305141538461537,Matt Frewer
Lethal Weapon 4,http://www.imdb.com/title/tt0122151/?ref_=fn_tt_tt_1,129734803,140000000,-10265197,-7.3322835714285715,Jet Li
Hulk,http://www.imdb.com/title/tt0286716/?ref_=fn_tt_tt_1,132122995,137000000,-4877005,-3.5598576642335766,Kevin Rankin
G.I. Joe: Retaliation,http://www.imdb.com/title/tt1583421/?ref_=fn_tt_tt_1,122512052,130000000,-7487948,-5.75996,Channing Tatum
Sahara,http://www.imdb.com/title/tt0318649/?ref_=fn_tt_tt_1,68642452,130000000,-61357548,-47.198113846153845,Matthew McConaughey
Final Fantasy: The Spirits Within,http://www.imdb.com/title/tt0173840/?ref_=fn_tt_tt_1,32131830,137000000,-104868170,-76.54610948905109,Steve Buscemi
Captain America: The First Avenger,http://www.imdb.com/title/tt0458339/?ref_=fn_tt_tt_1,176636816,140000000,36636816,26.169154285714285,Chris Evans
The World Is Not Enough,http://www.imdb.com/title/tt0143145/?ref_=fn_tt_tt_1,126930660,135000000,-8069340,-5.977288888888889,Colin Salmon
Master and Commander: The Far Side of the World,http://www.imdb.com/title/tt0311113/?ref_=fn_tt_tt_1,93926386,150000000,-56073614,-37.382409333333335,James D'Arcy
The Twilight Saga: Breaking Dawn - Part 2,http://www.imdb.com/title/tt1673434/?ref_=fn_tt_tt_1,292298923,120000000,172298923,143.58243583333334,Robert Pattinson
Happy Feet 2,http://www.imdb.com/title/tt1402488/?ref_=fn_tt_tt_1,63992328,135000000,-71007672,-52.59827555555555,Robin Williams
The Incredible Hulk,http://www.imdb.com/title/tt0800080/?ref_=fn_tt_tt_1,134518390,150000000,-15481610,-10.321073333333333,Ty Burrell
The BFG,http://www.imdb.com/title/tt3691740/?ref_=fn_tt_tt_1,52792307,140000000,-87207693,-62.29120928571429,Mark Rylance
The Revenant,http://www.imdb.com/title/tt1663202/?ref_=fn_tt_tt_1,183635922,135000000,48635922,36.02660888888889,Leonardo DiCaprio
Turbo,http://www.imdb.com/title/tt1860353/?ref_=fn_tt_tt_1,83024900,135000000,-51975100,-38.50007407407408,Ryan Reynolds
Rango,http://www.imdb.com/title/tt1192628/?ref_=fn_tt_tt_1,123207194,135000000,-11792806,-8.735411851851852,Johnny Depp
Penguins of Madagascar,http://www.imdb.com/title/tt1911658/?ref_=fn_tt_tt_1,83348920,132000000,-48651080,-36.85687878787879,Benedict Cumberbatch
The Bourne Ultimatum,http://www.imdb.com/title/tt0440963/?ref_=fn_tt_tt_1,227137090,110000000,117137090,106.48826363636363,Matt Damon
Kung Fu Panda,http://www.imdb.com/title/tt0441773/?ref_=fn_tt_tt_1,215395021,130000000,85395021,65.68847769230769,Angelina Jolie Pitt
Ant-Man,http://www.imdb.com/title/tt0478970/?ref_=fn_tt_tt_1,180191634,130000000,50191634,38.60894923076923,Judy Greer
The Hunger Games: Catching Fire,http://www.imdb.com/title/tt1951264/?ref_=fn_tt_tt_1,424645577,130000000,294645577,226.65044384615385,Jennifer Lawrence
The Twilight Saga: Breaking Dawn - Part 2,http://www.imdb.com/title/tt1673434/?ref_=fn_tt_tt_1,292298923,120000000,172298923,143.58243583333334,Robert Pattinson
Home,http://www.imdb.com/title/tt2224026/?ref_=fn_tt_tt_1,177343675,135000000,42343675,31.365685185185182,Jim Parsons
War of the Worlds,http://www.imdb.com/title/tt0407304/?ref_=fn_tt_tt_1,234277056,132000000,102277056,77.48261818181818,Tom Cruise
Bad Boys II,http://www.imdb.com/title/tt0172156/?ref_=fn_tt_tt_1,138396624,130000000,8396624,6.458941538461538,Will Smith
Puss in Boots,http://www.imdb.com/title/tt0448694/?ref_=fn_tt_tt_1,149234747,130000000,19234747,14.795959230769231,Salma Hayek
Salt,http://www.imdb.com/title/tt0944835/?ref_=fn_tt_tt_1,118311368,110000000,8311368,7.55578909090909,Angelina Jolie Pitt
Noah,http://www.imdb.com/title/tt1959490/?ref_=fn_tt_tt_1,101160529,125000000,-23839471,-19.071576800000003,Anthony Hopkins
