movieTitle,movieIMDbLink,gross,budget,director,profit,ROI
Hugo,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,73820094,170000000,Martin Scorsese,-96179906,-56.576415294117645
Wild Wild West,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,113745408,170000000,Barry Sonnenfeld,-56254592,-33.09093647058823
The Mummy: Tomb of the Dragon Emperor,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,102176165,145000000,Rob Cohen,-42823835,-29.53367931034483
Suicide Squad,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,161087183,175000000,David Ayer,-13912817,-7.950181142857144
Evan Almighty,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,100289690,175000000,Tom Shadyac,-74710310,-42.691605714285714
Edge of Tomorrow,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,100189501,178000000,Doug Liman,-77810499,-43.71376348314607
Waterworld,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,88246220,175000000,Kevin Reynolds,-86753780,-49.57358857142857
G.I. Joe: The Rise of Cobra,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,150167630,175000000,Stephen Sommers,-24832370,-14.189925714285714
Inside Out,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,356454367,175000000,Pete Docter,181454367,103.68820971428572
The Jungle Book,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,362645141,175000000,Jon Favreau,187645141,107.22579485714286
Iron Man 2,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,312057433,200000000,Jon Favreau,112057433,56.028716499999994
Snow White and the Huntsman,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,155111815,170000000,Rupert Sanders,-14888185,-8.75775588235294
Maleficent,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,241407328,180000000,Robert Stromberg,61407328,34.115182222222224
Dawn of the Planet of the Apes,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,208543795,170000000,Matt Reeves,38543795,22.672820588235293
47 Ronin,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,38297305,175000000,Carl Rinsch,-136702695,-78.11582571428572
Captain America: The Winter Soldier,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,259746958,170000000,Anthony Russo,89746958,52.792328235294114
Shrek Forever After,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,238371987,165000000,Mike Mitchell,73371987,44.467870909090905
Tomorrowland,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,93417865,190000000,Brad Bird,-96582135,-50.832702631578954
Big Hero 6,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,222487711,165000000,Don Hall,57487711,34.84103696969697
Wreck-It Ralph,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,189412677,165000000,Rich Moore,24412677,14.795561818181818
The Polar Express,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,665426,165000000,Robert Zemeckis,-164334574,-99.59671151515151
Independence Day: Resurgence,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,102315545,165000000,Roland Emmerich,-62684455,-37.99057878787879
How to Train Your Dragon,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1,217387997,165000000,Dean DeBlois,52387997,31.75030121212121
Terminator 3: Rise of the Machines,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,150350192,200000000,Jonathan Mostow,-49649808,-24.824904
Guardians of the Galaxy,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1,333130696,170000000,James Gunn,163130696,95.95923294117648
Interstellar,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,187991439,165000000,Christopher Nolan,22991439,13.934205454545454
Inception,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,292568851,160000000,Christopher Nolan,132568851,82.855531875
The Hobbit: An Unexpected Journey,http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1,303001229,180000000,Peter Jackson,123001229,68.33401611111111
The Fast and the Furious,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,144512310,38000000,Rob Cohen,106512310,280.29555263157897
The Curious Case of Benjamin Button,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1,127490802,150000000,David Fincher,-22509198,-15.006132
X-Men: First Class,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,146405371,160000000,Matthew Vaughn,-13594629,-8.496643125
The Hunger Games: Mockingjay - Part 2,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1,281666058,160000000,Francis Lawrence,121666058,76.04128625
The Sorcerer's Apprentice,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1,63143812,150000000,Jon Turteltaub,-86856188,-57.90412533333333
Poseidon,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1,60655503,160000000,Wolfgang Petersen,-99344497,-62.090310625
Alice Through the Looking Glass,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,76846624,170000000,James Bobin,-93153376,-54.796103529411766
Shrek the Third,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1,320706665,160000000,Chris Miller,160706665,100.44166562500001
Warcraft,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1,46978995,160000000,Duncan Jones,-113021005,-70.638128125
Terminator Genisys,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1,89732035,155000000,Alan Taylor,-65267965,-42.10836451612903
The Chronicles of Narnia: The Voyage of the Dawn Treader,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1,104383624,155000000,Michael Apted,-50616376,-32.65572645161291
Pearl Harbor,http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1,198539855,140000000,Michael Bay,58539855,41.81418214285714
Transformers,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1,318759914,150000000,Michael Bay,168759914,112.50660933333334
Alexander,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1,34293771,155000000,Oliver Stone,-120706229,-77.8749864516129
Harry Potter and the Order of the Phoenix,http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1,292000866,150000000,David Yates,142000866,94.667244
Harry Potter and the Goblet of Fire,http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1,289994397,150000000,Mike Newell,139994397,93.329598
Hancock,http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1,227946274,150000000,Peter Berg,77946274,51.96418266666667
I Am Legend,http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1,256386216,150000000,Francis Lawrence,106386216,70.924144
Charlie and the Chocolate Factory,http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1,206456431,150000000,Tim Burton,56456431,37.63762066666666
Ratatouille,http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1,206435493,150000000,Brad Bird,56435493,37.623662
Batman Begins,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1,205343774,150000000,Christopher Nolan,55343774,36.89584933333334
Madagascar: Escape 2 Africa,http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1,179982968,150000000,Eric Darnell,29982968,19.98864533333333
Night at the Museum: Battle of the Smithsonian,http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1,177243721,150000000,Shawn Levy,27243721,18.162480666666667
X-Men Origins: Wolverine,http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1,179883016,150000000,Gavin Hood,29883016,19.92201066666667
The Matrix Revolutions,http://www.imdb.com/title/tt0242653/?ref_=fn_tt_tt_1,139259759,150000000,Lana Wachowski,-10740241,-7.160160666666666
Frozen,http://www.imdb.com/title/tt2294629/?ref_=fn_tt_tt_1,400736600,150000000,Chris Buck,250736600,167.1577333333333
The Matrix Reloaded,http://www.imdb.com/title/tt0234215/?ref_=fn_tt_tt_1,281492479,150000000,Lana Wachowski,131492479,87.66165266666667
Thor: The Dark World,http://www.imdb.com/title/tt1981115/?ref_=fn_tt_tt_1,206360018,170000000,Alan Taylor,36360018,21.38824588235294
Mad Max: Fury Road,http://www.imdb.com/title/tt1392190/?ref_=fn_tt_tt_1,153629485,150000000,George Miller,3629485,2.4196566666666666
Angels & Demons,http://www.imdb.com/title/tt0808151/?ref_=fn_tt_tt_1,133375846,150000000,Ron Howard,-16624154,-11.082769333333333
Thor,http://www.imdb.com/title/tt0800369/?ref_=fn_tt_tt_1,181015141,150000000,Kenneth Branagh,31015141,20.676760666666667
Bolt,http://www.imdb.com/title/tt0397892/?ref_=fn_tt_tt_1,114053579,150000000,Byron Howard,-35946421,-23.964280666666667
G-Force,http://www.imdb.com/title/tt0436339/?ref_=fn_tt_tt_1,119420252,150000000,Hoyt Yeatman,-30579748,-20.386498666666668
Wrath of the Titans,http://www.imdb.com/title/tt1646987/?ref_=fn_tt_tt_1,83640426,150000000,Jonathan Liebesman,-66359574,-44.239716
Dark Shadows,http://www.imdb.com/title/tt1077368/?ref_=fn_tt_tt_1,79711678,100000000,Tim Burton,-20288322,-20.288322
Mission: Impossible - Rogue Nation,http://www.imdb.com/title/tt2381249/?ref_=fn_tt_tt_1,195000874,150000000,Christopher McQuarrie,45000874,30.000582666666663
The Wolfman,http://www.imdb.com/title/tt0780653/?ref_=fn_tt_tt_1,61937495,150000000,Joe Johnston,-88062505,-58.708336666666675
The Legend of Tarzan,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,124051759,180000000,David Yates,-55948241,-31.08235611111111
Bee Movie,http://www.imdb.com/title/tt0389790/?ref_=fn_tt_tt_1,126597121,150000000,Steve Hickner,-23402879,-15.601919333333333
Kung Fu Panda 2,http://www.imdb.com/title/tt1302011/?ref_=fn_tt_tt_1,165230261,150000000,Jennifer Yuh Nelson,15230261,10.153507333333334
The Last Airbender,http://www.imdb.com/title/tt0938283/?ref_=fn_tt_tt_1,131564731,150000000,M. Night Shyamalan,-18435269,-12.290179333333333
Mission: Impossible III,http://www.imdb.com/title/tt0317919/?ref_=fn_tt_tt_1,133382309,150000000,J.J. Abrams,-16617691,-11.078460666666667
White House Down,http://www.imdb.com/title/tt2334879/?ref_=fn_tt_tt_1,73103784,150000000,Roland Emmerich,-76896216,-51.264144
Mars Needs Moms,http://www.imdb.com/title/tt1305591/?ref_=fn_tt_tt_1,21379315,150000000,Simon Wells,-128620685,-85.74712333333333
Flushed Away,http://www.imdb.com/title/tt0424095/?ref_=fn_tt_tt_1,64459316,149000000,David Bowers,-84540684,-56.73871409395973
Pan,http://www.imdb.com/title/tt3332064/?ref_=fn_tt_tt_1,34964818,150000000,Joe Wright,-115035182,-76.69012133333334
Mr. Peabody & Sherman,http://www.imdb.com/title/tt0864835/?ref_=fn_tt_tt_1,111505642,145000000,Rob Minkoff,-33494358,-23.09955724137931
Troy,http://www.imdb.com/title/tt0332452/?ref_=fn_tt_tt_1,133228348,175000000,Wolfgang Petersen,-41771652,-23.86951542857143
Madagascar 3: Europe's Most Wanted,http://www.imdb.com/title/tt1277953/?ref_=fn_tt_tt_1,216366733,145000000,Eric Darnell,71366733,49.21843655172414
Die Another Day,http://www.imdb.com/title/tt0246460/?ref_=fn_tt_tt_1,160201106,142000000,Lee Tamahori,18201106,12.81768028169014
Ghostbusters,http://www.imdb.com/title/tt1289401/?ref_=fn_tt_tt_1,118099659,144000000,Paul Feig,-25900341,-17.986347916666666
Armageddon,http://www.imdb.com/title/tt0120591/?ref_=fn_tt_tt_1,201573391,140000000,Michael Bay,61573391,43.98099357142857
Men in Black II,http://www.imdb.com/title/tt0120912/?ref_=fn_tt_tt_1,190418803,140000000,Barry Sonnenfeld,50418803,36.01343071428572
Beowulf,http://www.imdb.com/title/tt0442933/?ref_=fn_tt_tt_1,82161969,150000000,Robert Zemeckis,-67838031,-45.225354
Kung Fu Panda 3,http://www.imdb.com/title/tt2267968/?ref_=fn_tt_tt_1,143523463,145000000,Alessandro Carloni,-1476537,-1.0183013793103448
Mission: Impossible - Ghost Protocol,http://www.imdb.com/title/tt1229238/?ref_=fn_tt_tt_1,209364921,145000000,Brad Bird,64364921,44.389600689655175
Rise of the Guardians,http://www.imdb.com/title/tt1446192/?ref_=fn_tt_tt_1,103400692,145000000,Peter Ramsey,-41599308,-28.689177931034482
Fun with Dick and Jane,http://www.imdb.com/title/tt0369441/?ref_=fn_tt_tt_1,110332737,100000000,Dean Parisot,10332737,10.332737
The Last Samurai,http://www.imdb.com/title/tt0325710/?ref_=fn_tt_tt_1,111110575,140000000,Edward Zwick,-28889425,-20.63530357142857
Exodus: Gods and Kings,http://www.imdb.com/title/tt1528100/?ref_=fn_tt_tt_1,65007045,140000000,Ridley Scott,-74992955,-53.56639642857143
Star Trek,http://www.imdb.com/title/tt0796366/?ref_=fn_tt_tt_1,257704099,150000000,J.J. Abrams,107704099,71.80273266666667
Spider-Man,http://www.imdb.com/title/tt0145487/?ref_=fn_tt_tt_1,403706375,139000000,Sam Raimi,264706375,190.43624100719424
How to Train Your Dragon 2,http://www.imdb.com/title/tt1646971/?ref_=fn_tt_tt_1,176997107,145000000,Dean DeBlois,31997107,22.066970344827585
Gods of Egypt,http://www.imdb.com/title/tt2404233/?ref_=fn_tt_tt_1,31141074,140000000,Alex Proyas,-108858926,-77.75637571428572
Stealth,http://www.imdb.com/title/tt0382992/?ref_=fn_tt_tt_1,31704416,135000000,Rob Cohen,-103295584,-76.5152474074074
Watchmen,http://www.imdb.com/title/tt0409459/?ref_=fn_tt_tt_1,107503316,130000000,Zack Snyder,-22496684,-17.305141538461537
Lethal Weapon 4,http://www.imdb.com/title/tt0122151/?ref_=fn_tt_tt_1,129734803,140000000,Richard Donner,-10265197,-7.3322835714285715
Hulk,http://www.imdb.com/title/tt0286716/?ref_=fn_tt_tt_1,132122995,137000000,Ang Lee,-4877005,-3.5598576642335766
G.I. Joe: Retaliation,http://www.imdb.com/title/tt1583421/?ref_=fn_tt_tt_1,122512052,130000000,Jon M. Chu,-7487948,-5.75996
Sahara,http://www.imdb.com/title/tt0318649/?ref_=fn_tt_tt_1,68642452,130000000,Breck Eisner,-61357548,-47.198113846153845
Final Fantasy: The Spirits Within,http://www.imdb.com/title/tt0173840/?ref_=fn_tt_tt_1,32131830,137000000,Hironobu Sakaguchi,-104868170,-76.54610948905109
Captain America: The First Avenger,http://www.imdb.com/title/tt0458339/?ref_=fn_tt_tt_1,176636816,140000000,Joe Johnston,36636816,26.169154285714285
The World Is Not Enough,http://www.imdb.com/title/tt0143145/?ref_=fn_tt_tt_1,126930660,135000000,Michael Apted,-8069340,-5.977288888888889
Master and Commander: The Far Side of the World,http://www.imdb.com/title/tt0311113/?ref_=fn_tt_tt_1,93926386,150000000,Peter Weir,-56073614,-37.382409333333335
The Twilight Saga: Breaking Dawn - Part 2,http://www.imdb.com/title/tt1673434/?ref_=fn_tt_tt_1,292298923,120000000,Bill Condon,172298923,143.58243583333334
Happy Feet 2,http://www.imdb.com/title/tt1402488/?ref_=fn_tt_tt_1,63992328,135000000,George Miller,-71007672,-52.59827555555555
The Incredible Hulk,http://www.imdb.com/title/tt0800080/?ref_=fn_tt_tt_1,134518390,150000000,Louis Leterrier,-15481610,-10.321073333333333
The BFG,http://www.imdb.com/title/tt3691740/?ref_=fn_tt_tt_1,52792307,140000000,Steven Spielberg,-87207693,-62.29120928571429
The Revenant,http://www.imdb.com/title/tt1663202/?ref_=fn_tt_tt_1,183635922,135000000,Alejandro G. IÌÎå±ÌÎÌrritu,48635922,36.02660888888889
Turbo,http://www.imdb.com/title/tt1860353/?ref_=fn_tt_tt_1,83024900,135000000,David Soren,-51975100,-38.50007407407408
Rango,http://www.imdb.com/title/tt1192628/?ref_=fn_tt_tt_1,123207194,135000000,Gore Verbinski,-11792806,-8.735411851851852
Penguins of Madagascar,http://www.imdb.com/title/tt1911658/?ref_=fn_tt_tt_1,83348920,132000000,Eric Darnell,-48651080,-36.85687878787879
The Bourne Ultimatum,http://www.imdb.com/title/tt0440963/?ref_=fn_tt_tt_1,227137090,110000000,Paul Greengrass,117137090,106.48826363636363
Kung Fu Panda,http://www.imdb.com/title/tt0441773/?ref_=fn_tt_tt_1,215395021,130000000,Mark Osborne,85395021,65.68847769230769
Ant-Man,http://www.imdb.com/title/tt0478970/?ref_=fn_tt_tt_1,180191634,130000000,Peyton Reed,50191634,38.60894923076923
The Hunger Games: Catching Fire,http://www.imdb.com/title/tt1951264/?ref_=fn_tt_tt_1,424645577,130000000,Francis Lawrence,294645577,226.65044384615385
The Twilight Saga: Breaking Dawn - Part 2,http://www.imdb.com/title/tt1673434/?ref_=fn_tt_tt_1,292298923,120000000,Bill Condon,172298923,143.58243583333334
Home,http://www.imdb.com/title/tt2224026/?ref_=fn_tt_tt_1,177343675,135000000,Tim Johnson,42343675,31.365685185185182
War of the Worlds,http://www.imdb.com/title/tt0407304/?ref_=fn_tt_tt_1,234277056,132000000,Steven Spielberg,102277056,77.48261818181818
Bad Boys II,http://www.imdb.com/title/tt0172156/?ref_=fn_tt_tt_1,138396624,130000000,Michael Bay,8396624,6.458941538461538
Puss in Boots,http://www.imdb.com/title/tt0448694/?ref_=fn_tt_tt_1,149234747,130000000,Chris Miller,19234747,14.795959230769231
Salt,http://www.imdb.com/title/tt0944835/?ref_=fn_tt_tt_1,118311368,110000000,Phillip Noyce,8311368,7.55578909090909
Noah,http://www.imdb.com/title/tt1959490/?ref_=fn_tt_tt_1,101160529,125000000,Darren Aronofsky,-23839471,-19.071576800000003
The Adventures of Tintin,http://www.imdb.com/title/tt0983193/?ref_=fn_tt_tt_1,77564037,135000000,Steven Spielberg,-57435963,-42.545157777777774
Harry Potter and the Prisoner of Azkaban,http://www.imdb.com/title/tt0304141/?ref_=fn_tt_tt_1,249358727,130000000,Alfonso CuarÌÎ_n,119358727,91.81440538461538
