country,movieTitle,contentRating,movieYear,duration,language,numFaceInPoster,movieIMDbLink,gross,budget,imdbScore,numVotedUsers,numCriticsForReviews,castMemberFBLikes,movieFBLikes,director,directorFBLikes,actor1,actor1FBLikes,actor2,actor2FBLikes,actor3,actor3FBLikes,profit,ROI
USA,Pirates of the Caribbean: On Stranger Tides,PG-13,2011,136,English,4,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,241063875,250000000,6.7,370704,448,54083,58000,Rob Marshall,252,Johnny Depp,40000,Sam Claflin,11000,Stephen Graham,1000,-8936125,-3.5744499999999997
USA,Men in Black 3,PG-13,2012,106,English,1,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,179020854,225000000,6.8,268154,451,12572,40000,Barry Sonnenfeld,188,Will Smith,10000,Michael Stuhlbarg,816,Nicole Scherzinger,718,-45979146,-20.435176
New Zealand,The Hobbit: The Battle of the Five Armies,PG-13,2014,164,English,0,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,255108370,250000000,7.5,354228,422,9152,65000,Peter Jackson,0,Aidan Turner,5000,Adam Brown,972,James Nesbitt,773,5108370,2.043348
USA,The Amazing Spider-Man,PG-13,2012,153,English,0,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,262030663,230000000,7,451803,599,28489,56000,Marc Webb,464,Emma Stone,15000,Andrew Garfield,10000,Chris Zylka,963,32030663,13.926375217391303
USA,Robin Hood,PG-13,2010,156,English,0,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,105219735,200000000,6.7,211765,343,3244,17000,Ridley Scott,0,Mark Addy,891,William Hurt,882,Scott Grimes,738,-94780265,-47.3901325
USA,The Hobbit: The Desolation of Smaug,PG-13,2013,186,English,6,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,258355354,225000000,7.9,483540,509,9152,83000,Peter Jackson,0,Aidan Turner,5000,Adam Brown,972,James Nesbitt,773,33355354,14.824601777777776
USA,The Golden Compass,PG-13,2007,113,English,2,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,70083519,180000000,6.1,149019,251,24106,0,Chris Weitz,129,Christopher Lee,16000,Eva Green,6000,Kristin Scott Thomas,1000,-109916481,-61.06471166666667
New Zealand,King Kong,PG-13,2005,201,English,0,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,218051260,207000000,7.2,316018,446,7123,0,Peter Jackson,0,Naomi Watts,6000,Thomas Kretschmann,919,Evan Parke,84,11051260,5.338772946859904
USA,Titanic,PG-13,1997,194,English,0,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,658672302,200000000,7.7,793059,315,45223,26000,James Cameron,0,Leonardo DiCaprio,29000,Kate Winslet,14000,Gloria Stuart,794,458672302,229.336151
USA,Captain America: Civil War,PG-13,2016,147,English,0,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,407197282,250000000,8.2,272670,516,64798,72000,Anthony Russo,94,Robert Downey Jr.,21000,Scarlett Johansson,19000,Chris Evans,11000,157197282,62.878912799999995
USA,Battleship,PG-13,2012,131,English,0,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,65173160,209000000,5.9,202382,377,26679,44000,Peter Berg,532,Liam Neeson,14000,Alexander SkarsgÌÎå«rd,10000,Tadanobu Asano,627,-143826840,-68.81666985645933
USA,Jurassic World,PG-13,2015,124,English,0,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,652177271,150000000,7,418214,644,8458,150000,Colin Trevorrow,365,Bryce Dallas Howard,3000,Judy Greer,2000,Omar Sy,1000,502177271,334.78484733333335
UK,Skyfall,PG-13,2012,143,English,0,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,304360277,200000000,7.8,522030,750,2039,80000,Sam Mendes,0,Albert Finney,883,Helen McCrory,563,Rory Kinnear,393,104360277,52.1801385
USA,Spider-Man 2,PG-13,2004,135,English,1,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,373377893,200000000,7.3,411164,300,43388,0,Sam Raimi,0,J.K. Simmons,24000,James Franco,11000,Kirsten Dunst,4000,173377893,86.6889465
USA,Iron Man 3,PG-13,2013,195,English,3,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,408992272,200000000,7.2,557489,608,30426,95000,Shane Black,1000,Robert Downey Jr.,21000,Jon Favreau,4000,Don Cheadle,3000,208992272,104.496136
USA,Alice in Wonderland,PG,2010,108,English,0,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,334185206,200000000,6.5,306320,451,79957,24000,Tim Burton,13000,Johnny Depp,40000,Alan Rickman,25000,Anne Hathaway,11000,134185206,67.092603
Canada,X-Men: The Last Stand,PG-13,2006,104,English,0,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,234360014,210000000,6.8,383427,334,21714,0,Brett Ratner,420,Hugh Jackman,20000,Kelsey Grammer,808,Daniel Cudmore,560,24360014,11.600006666666667
USA,Monsters University,G,2013,104,English,0,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,268488329,200000000,7.3,235025,376,14863,44000,Dan Scanlon,37,Steve Buscemi,12000,Tyler Labine,779,Sean Hayes,760,68488329,34.244164500000004
USA,Transformers: Revenge of the Fallen,PG-13,2009,150,English,0,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,402076689,200000000,6,323207,366,3218,0,Michael Bay,0,Glenn Morshower,894,Kevin Dunn,581,Ramon Rodriguez,464,202076689,101.0383445
USA,Transformers: Age of Extinction,PG-13,2014,165,English,2,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,245428137,210000000,5.7,242420,378,3988,56000,Michael Bay,0,Bingbing Li,974,Sophia Myles,956,Kelsey Grammer,808,35428137,16.87054142857143
USA,Oz the Great and Powerful,PG,2013,130,English,4,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,234903076,215000000,6.4,175409,525,73441,60000,Sam Raimi,0,Tim Holmes,44000,Mila Kunis,15000,James Franco,11000,19903076,9.257244651162791
USA,The Amazing Spider-Man 2,PG-13,2014,142,English,0,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,202853933,200000000,6.7,321227,495,28631,41000,Marc Webb,464,Emma Stone,15000,Andrew Garfield,10000,B.J. Novak,825,2853933,1.4269665
USA,TRON: Legacy,PG,2010,125,English,0,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,172051787,170000000,6.8,264183,469,25550,30000,Joseph Kosinski,364,Jeff Bridges,12000,Olivia Wilde,10000,James Frain,1000,2051787,1.2069335294117647
USA,Cars 2,G,2011,106,English,0,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,191450875,200000000,6.3,101178,304,4482,10000,John Lasseter,487,Joe Mantegna,1000,Thomas Kretschmann,919,Eddie Izzard,776,-8549125,-4.2745625
USA,Green Lantern,PG-13,2011,123,English,2,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,116593191,200000000,5.6,223393,436,17657,24000,Martin Campbell,258,Ryan Reynolds,16000,Temuera Morrison,368,Taika Waititi,326,-83406809,-41.703404500000005
USA,Toy Story 3,G,2010,103,English,3,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,414984497,200000000,8.3,544884,453,19085,30000,Lee Unkrich,125,Tom Hanks,15000,John Ratzenberger,1000,Don Rickles,721,214984497,107.49224850000002
USA,Terminator Salvation,PG-13,2009,118,English,0,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,125320003,200000000,6.6,286095,422,27468,0,McG,368,Christian Bale,23000,Bryce Dallas Howard,3000,Common,988,-74679997,-37.3399985
USA,Furious 7,PG-13,2015,140,English,0,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,350034110,190000000,7.2,278232,424,79150,94000,James Wan,0,Jason Statham,26000,Paul Walker,23000,Vin Diesel,14000,160034110,84.22847894736843
USA,World War Z,PG-13,2013,123,English,0,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,202351611,190000000,7,465019,654,32392,129000,Marc Forster,395,Peter Capaldi,17000,Brad Pitt,11000,Mireille Enos,1000,12351611,6.500847894736841
USA,X-Men: Days of Future Past,PG-13,2014,149,English,7,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,233914986,200000000,8,514125,539,91434,82000,Bryan Singer,0,Jennifer Lawrence,34000,Peter Dinklage,22000,Hugh Jackman,20000,33914986,16.957493
USA,Star Trek Into Darkness,PG-13,2013,132,English,0,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,228756232,190000000,7.8,395573,590,21411,92000,J.J. Abrams,14000,Benedict Cumberbatch,19000,Bruce Greenwood,981,Noel Clarke,928,38756232,20.398016842105264
USA,Jack the Giant Slayer,PG-13,2013,114,English,1,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,65171860,195000000,6.3,106416,338,1766,22000,Bryan Singer,0,Eddie Marsan,979,Ewen Bremner,557,Ralph Brown,140,-129828140,-66.57853333333334
Australia,The Great Gatsby,PG-13,2013,143,English,4,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,144812796,105000000,7.3,362912,490,29770,115000,Baz Luhrmann,1000,Leonardo DiCaprio,29000,Elizabeth Debicki,509,Steve Bisley,77,39812796,37.91694857142857
USA,Prince of Persia: The Sands of Time,PG-13,2010,116,English,2,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,90755643,200000000,6.6,222403,306,16149,23000,Mike Newell,179,Jake Gyllenhaal,15000,Richard Coyle,567,Reece Ritchie,236,-109244357,-54.6221785
USA,Pacific Rim,PG-13,2013,131,English,0,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,101785482,190000000,7,381148,575,19166,83000,Guillermo del Toro,0,Charlie Hunnam,16000,Clifton Collins Jr.,968,Larry Joe Campbell,919,-88214518,-46.42869368421053
USA,Transformers: Dark of the Moon,PG-13,2011,154,English,2,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,352358779,195000000,6.3,326180,428,2593,46000,Michael Bay,0,Glenn Morshower,894,Lester Speight,829,Kevin Dunn,581,157358779,80.69680974358975
USA,Indiana Jones and the Kingdom of the Crystal Skull,PG-13,2008,122,English,2,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,317011114,185000000,6.2,333847,470,14959,5000,Steven Spielberg,14000,Harrison Ford,11000,Ray Winstone,1000,Jim Broadbent,1000,132011114,71.35735891891892
USA,Brave,PG,2012,93,English,0,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,237282182,185000000,7.2,273556,488,5005,39000,Mark Andrews,56,Kelly Macdonald,2000,John Ratzenberger,1000,Julie Walters,838,52282182,28.260638918918918
USA,Star Trek Beyond,PG-13,2016,122,English,4,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,130468626,185000000,7.5,53607,322,1327,30000,Justin Lin,681,Sofia Boutella,998,Melissa Roxburgh,119,Lydia Wilson,105,-54531374,-29.476418378378376
USA,WALLÌ´ÌÁE,G,2008,98,English,0,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,223806889,180000000,8.4,718837,421,2975,16000,Andrew Stanton,475,John Ratzenberger,1000,Fred Willard,729,Jeff Garlin,522,43806889,24.337160555555556
USA,Rush Hour 3,PG-13,2007,91,English,2,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,140080850,140000000,6.2,121084,162,1125,0,Brett Ratner,420,Tzi Ma,268,Dana Ivey,268,NoÌÎå©mie Lenoir,173,80850,0.05775
USA,2012,PG-13,2009,158,English,0,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,166112167,200000000,5.8,283418,367,2144,13000,Roland Emmerich,776,Oliver Platt,1000,Liam James,468,Tom McCarthy,310,-33887833,-16.9439165
USA,A Christmas Carol,PG,2009,96,English,0,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,137850096,200000000,6.8,72809,240,48878,0,Robert Zemeckis,0,Robin Wright,18000,Colin Firth,14000,Gary Oldman,10000,-62149904,-31.074952
USA,Jupiter Ascending,PG-13,2015,127,English,1,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,47375327,176000000,5.4,139593,384,47334,44000,Lana Wachowski,0,Channing Tatum,17000,Mila Kunis,15000,Eddie Redmayne,13000,-128624673,-73.08220056818182
USA,The Legend of Tarzan,PG-13,2016,110,English,2,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,124051759,180000000,6.6,42372,248,21175,29000,David Yates,282,Christoph Waltz,11000,Alexander SkarsgÌÎå«rd,10000,Casper Crump,103,-55948241,-31.08235611111111
USA,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",PG,2005,150,English,5,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,291709845,180000000,6.9,286506,284,1317,0,Andrew Adamson,80,Jim Broadbent,1000,Kiran Shah,190,Shane Rangi,82,111709845,62.061025
USA,X-Men: Apocalypse,PG-13,2016,144,English,6,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,154985087,178000000,7.3,148379,396,49684,54000,Bryan Singer,0,Jennifer Lawrence,34000,Michael Fassbender,13000,Tye Sheridan,1000,-23014913,-12.929726404494382
USA,The Dark Knight,PG-13,2008,152,English,0,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,533316061,185000000,9,1676169,645,57802,37000,Christopher Nolan,22000,Christian Bale,23000,Heath Ledger,13000,Morgan Freeman,11000,348316061,188.2789518918919
USA,Up,PG,2009,96,English,1,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,292979556,175000000,8.3,665575,408,2635,27000,Pete Docter,0,John Ratzenberger,1000,Delroy Lindo,848,Jess Harnell,262,117979556,67.41688914285714
USA,Monsters vs. Aliens,PG,2009,94,English,2,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,198332128,175000000,6.5,114553,219,2579,0,Rob Letterman,11,Amy Poehler,1000,Rainn Wilson,973,Stephen Colbert,459,23332128,13.33264457142857
USA,Iron Man,PG-13,2008,126,English,3,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,318298180,140000000,7.9,696338,486,39252,10000,Jon Favreau,4000,Robert Downey Jr.,21000,Jeff Bridges,12000,Jon Favreau,4000,178298180,127.35584285714285
USA,Hugo,PG,2011,126,English,0,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,73820094,170000000,7.5,245333,682,36017,42000,Martin Scorsese,17000,ChloÌÎÌà Grace Moretz,17000,Christopher Lee,16000,Ray Winstone,1000,-96179906,-56.576415294117645
USA,Wild Wild West,PG-13,1999,106,English,2,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,113745408,170000000,4.8,129601,85,15870,0,Barry Sonnenfeld,188,Will Smith,10000,Salma Hayek,4000,Bai Ling,582,-56254592,-33.09093647058823
USA,The Mummy: Tomb of the Dragon Emperor,PG-13,2008,112,English,2,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,102176165,145000000,5.2,117927,264,9131,0,Rob Cohen,357,Jet Li,5000,Brendan Fraser,3000,Russell Wong,595,-42823835,-29.53367931034483
USA,Suicide Squad,PG-13,2016,123,English,8,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,161087183,175000000,6.9,118992,418,11287,80000,David Ayer,452,Will Smith,10000,Robin Atkin Downes,336,Ike Barinholtz,329,-13912817,-7.950181142857144
USA,Evan Almighty,PG,2007,96,English,0,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,100289690,175000000,5.4,115099,186,108016,2000,Tom Shadyac,293,Jimmy Bennett,87000,Morgan Freeman,11000,Steve Carell,7000,-74710310,-42.691605714285714
USA,Edge of Tomorrow,PG-13,2014,113,English,1,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,100189501,178000000,7.9,431620,585,12652,77000,Doug Liman,218,Tom Cruise,10000,Lara Pulver,854,Noah Taylor,509,-77810499,-43.71376348314607
USA,Waterworld,PG-13,1995,176,English,0,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,88246220,175000000,6.1,144337,91,1004,0,Kevin Reynolds,58,Jeanne Tripplehorn,711,Rick Aviles,60,Zakes Mokae,60,-86753780,-49.57358857142857
USA,G.I. Joe: The Rise of Cobra,PG-13,2009,118,English,4,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,150167630,175000000,5.8,174578,250,26683,0,Stephen Sommers,208,Joseph Gordon-Levitt,23000,Dennis Quaid,2000,Leo Howard,570,-24832370,-14.189925714285714
USA,Inside Out,PG,2015,95,English,1,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,356454367,175000000,8.3,345198,536,2944,118000,Pete Docter,0,Amy Poehler,1000,Mindy Kaling,767,Phyllis Smith,384,181454367,103.68820971428572
UK,The Jungle Book,PG,2016,106,English,0,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,362645141,175000000,7.8,106072,370,32921,65000,Jon Favreau,4000,Scarlett Johansson,19000,Bill Murray,13000,Garry Shandling,591,187645141,107.22579485714286
USA,Iron Man 2,PG-13,2010,124,English,4,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,312057433,200000000,7,522371,453,48638,18000,Jon Favreau,4000,Robert Downey Jr.,21000,Scarlett Johansson,19000,Jon Favreau,4000,112057433,56.028716499999994
USA,Snow White and the Huntsman,PG-13,2012,132,English,0,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,155111815,170000000,6.1,228554,416,72881,53000,Rupert Sanders,274,Chris Hemsworth,26000,Kristen Stewart,17000,Sam Claflin,11000,-14888185,-8.75775588235294
USA,Maleficent,PG,2014,97,English,2,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,241407328,180000000,7,252257,401,15516,89000,Robert Stromberg,171,Angelina Jolie Pitt,11000,Sharlto Copley,2000,Sam Riley,846,61407328,34.115182222222224
USA,Dawn of the Planet of the Apes,PG-13,2014,130,English,0,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,208543795,170000000,7.6,317542,521,14363,45000,Matt Reeves,198,Gary Oldman,10000,Judy Greer,2000,Kodi Smit-McPhee,884,38543795,22.672820588235293
USA,47 Ronin,PG-13,2013,128,English,2,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,38297305,175000000,6.3,116994,218,20965,35000,Carl Rinsch,47,Keanu Reeves,18000,Cary-Hiroyuki Tagawa,1000,Jin Akanishi,982,-136702695,-78.11582571428572
USA,Captain America: The Winter Soldier,PG-13,2014,136,English,1,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,259746958,170000000,7.8,496749,576,36188,55000,Anthony Russo,94,Scarlett Johansson,19000,Chris Evans,11000,Hayley Atwell,2000,89746958,52.792328235294114
USA,Shrek Forever After,PG,2010,93,English,2,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,238371987,165000000,6.4,138661,226,4628,0,Mike Mitchell,31,Jon Hamm,4000,Kathy Griffin,225,Mary Kay Place,213,73371987,44.467870909090905
USA,Tomorrowland,PG,2015,130,English,2,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,93417865,190000000,6.5,128306,443,5046,37000,Brad Bird,663,Judy Greer,2000,Chris Bauer,638,Thomas Robinson,604,-96582135,-50.832702631578954
USA,Big Hero 6,PG,2014,102,English,0,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,222487711,165000000,7.9,279093,384,2963,41000,Don Hall,38,Damon Wayans Jr.,756,Daniel Henney,719,Abraham Benrubi,562,57487711,34.84103696969697
USA,Wreck-It Ralph,PG,2012,101,English,1,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,189412677,165000000,7.8,272534,377,4451,40000,Rich Moore,66,Jack McBrayer,975,Sarah Silverman,931,Joe Lo Truglio,833,24412677,14.795561818181818
USA,The Polar Express,G,2004,100,English,0,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,665426,165000000,6.6,120798,188,16264,10000,Robert Zemeckis,0,Tom Hanks,15000,Eddie Deezen,726,Peter Scolari,267,-164334574,-99.59671151515151
USA,Independence Day: Resurgence,PG-13,2016,120,English,0,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,102315545,165000000,5.5,58137,286,3233,67000,Roland Emmerich,776,Vivica A. Fox,890,Sela Ward,812,Judd Hirsch,535,-62684455,-37.99057878787879
USA,How to Train Your Dragon,PG,2010,98,English,0,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1,217387997,165000000,8.2,485430,288,20453,33000,Dean DeBlois,255,Gerard Butler,18000,America Ferrera,953,Craig Ferguson,759,52387997,31.75030121212121
USA,Terminator 3: Rise of the Machines,R,2003,109,English,0,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,150350192,200000000,6.4,305340,280,1769,0,Jonathan Mostow,84,Nick Stahl,648,M.C. Gainey,284,Carolyn Hennesy,191,-49649808,-24.824904
USA,Guardians of the Galaxy,PG-13,2014,121,English,3,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1,333130696,170000000,8.1,682155,653,32438,96000,James Gunn,571,Bradley Cooper,14000,Vin Diesel,14000,Djimon Hounsou,3000,163130696,95.95923294117648
USA,Interstellar,PG-13,2014,169,English,1,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,187991439,165000000,8.6,928227,712,31488,349000,Christopher Nolan,22000,Matthew McConaughey,11000,Anne Hathaway,11000,Mackenzie Foy,6000,22991439,13.934205454545454
USA,Inception,PG-13,2010,148,English,0,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,292568851,160000000,8.8,1468200,642,81115,175000,Christopher Nolan,22000,Leonardo DiCaprio,29000,Tom Hardy,27000,Joseph Gordon-Levitt,23000,132568851,82.855531875
USA,The Fast and the Furious,PG-13,2001,106,English,2,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,144512310,38000000,6.7,272223,187,45327,14000,Rob Cohen,357,Paul Walker,23000,Vin Diesel,14000,Jordana Brewster,4000,106512310,280.29555263157897
USA,The Curious Case of Benjamin Button,PG-13,2008,166,English,2,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1,127490802,150000000,7.8,459346,362,13333,23000,David Fincher,21000,Brad Pitt,11000,Jason Flemyng,1000,Julia Ormond,919,-22509198,-15.006132
